Text,Label,Related_to_label,Information,Religious
" It is also important to not only give alms, but also to help those who are poor by giving them money and goods",zakat,No,Correct,Yes
"Sadaqah is a third type of Muslim charity, which involves donating money in order to help people build mosques, schools, or other buildings for Muslims",zakat,No,Correct,Yes
 Usually this type of charity takes place at the end of Ramadan when Muslims give money to their local mosque in order for it to be used for any purpose that would benefit Muslims as a whole,zakat,No,Correct,Yes
Sadaqah tul fitr is another form of Muslim charity that allows Muslims to give money directly from their bank accounts after fasting during Ramadan ends each year on Eid al-Adha (the Festival),zakat,No,Correct,Yes
 Zakat is a religious tax,zakat,Yes,Correct,Yes
" It is traditionally given in the form of money, crops, or livestock to help the poor and needy",zakat,Yes,Correct,Yes
"The word zakat comes from the Arabic root saqat, which means to purify or cleanse",zakat,Yes,Correct,Yes
" In Islamic scripture, it's called sadaqa and is part of the Muslim faith",zakat,Yes,Correct,Yes
"In Islam, Zakat is obligatory for Muslims who are able to pay it",zakat,Yes,Correct,Yes
 It should be paid during the month of Ramadan before Eid al-Fitr (the holiday that follows Ramadan),zakat,No,Wrong,Yes
 The amount varies depending on how much you can afford to give,zakat,Yes,Correct,Yes
"Fasting is a religious requirement for Muslims, who make a pilgrimage to Mecca every year",hajj,No,Correct,Yes
 The fast begins at dawn and ends at sunset,hajj,No,Correct,Yes
"The Hajj involves rituals that are performed in the direction of the Kabah, which is an area where Abraham's place of worship and the Kaaba are located",hajj,Yes,Correct,Yes
" The Hajj is a pilgrimage to Mecca, Saudi Arabia, which is performed by Muslims who are able to make the journey",hajj,Yes,Correct,Yes
 This is a journey of at least two days and involves circling the Ka'bah seven times while wearing specific garments and performing specific rituals,hajj,Yes,Correct,Yes
" The pilgrims walk barefoot around the Ka'bah, which is located in the center of Mecca",hajj,Yes,Correct,Yes
" The Hajj is a pilgrimage to Mecca, Saudi Arabia, that is performed by Muslims once in their lifetime if they are financially and physically able to do so",hajj,Yes,Correct,Yes
 The Hajj is one of the five pillars of Islam and is required by all Muslims if they are able to make it to Mecca,hajj,Yes,Correct,Yes
 Pilgrimage is a journey to visit sacred places and people,hajj,Yes,Correct,Yes
" The Hajj is the most important pilgrimage in Islam for its spiritual significance, historical importance, and social significance",hajj,Yes,Correct,Yes
The pilgrimage is a once-in-a-lifetime event for Muslims who are able to perform it,hajj,Yes,Correct,Yes
" The Hajj is one of the five pillars of Islam, which are the means by which a Muslim can be considered a faithful member of the faith",hajj,Yes,Correct,Yes
"The pilgrimage begins with walking to Mecca, where all pilgrims must do their prayers and fasting before entering the holy city itself",hajj,No,Wrong,Yes
" The Kaaba in Mecca is considered one of Islam's holiest sites, as it houses al-Masjid al-Nabawi (the Sacred House)",hajj,No,Wrong,Yes
 The pilgrims then circumambulate around it seven times while facing Mecca; this part of the pilgrimage symbolizes their humility towards God (as they cannot see Him),hajj,Yes,Correct,Yes
" Finally, they perform an act of devotion known as tawaf (circumambulation) three times around Mount Safa and then again around Mount Marwa",hajj,Yes,Correct,Yes
"The hajj is a pilgrimage to Mecca, Saudi Arabia",hajj,Yes,Correct,Yes
" Pilgrims make the journey on foot to the Kabah and perform the rites of hajj, which include a visit to the Kaaba",hajj,Yes,Correct,Yes
 There are two types of hajj: Umrah and Hijra,hajj,Yes,Correct,Yes
 The Umrah is performed in a day by any Muslim who has reached puberty and can make it without harm to their health; this type of hajab is performed on a specific date each year,hajj,Yes,Correct,Yes
 The Hijra is performed by all Muslims at least once during their lifetime; this type of pilgrimage must be made after reaching puberty and before shaving one's hair,hajj,Yes,Correct,Yes
 A pilgrimage is a journey that a person makes to visit a holy place,hajj,No,Correct,Yes
" It may be to a shrine, temple, or mosque",hajj,No,Correct,Yes
 The word may also refer to the fact that one makes an act of religious devotion,hajj,No,Correct,Yes
 Hajj is a pilgrimage to Mecca that Muslims are required to make at least once in their lifetime,hajj,Yes,Correct,Yes
 It is also known as the Greater Pilgrimage and the Hajj of the Heart,hajj,Yes,Correct,Yes
"The Hajj is an important part of the Islamic faith, and it occurs during the 10th month after a person has reached puberty",hajj,Yes,Correct,Yes
" The pilgrimage takes place over two stages: the first stage involves walking from one place to another, while the second stage involves circling Mount Arafat on foot",hajj,Yes,Correct,Yes
" The five pillars of Islam are:Shahadah, or the profession of faith Salat (prayer), five times a day. Zakat, or almsgiving to the poor",hajj,No,Correct,Yes
" Sawm (fasting during Ramadan), observed by Muslims around the world as an annual religious holiday; lasts one month each year",hajj,No,Correct,Yes
" Hajj (pilgrimage), a Muslim's journey to Mecca once in a lifetime",hajj,Yes,Correct,Yes
" Hajj is a pilgrimage undertaken by Muslims, which commemorates the steps of Prophet Muhammad, and is performed on the 10th day of Dhu al-Hijjah",hajj,Yes,Correct,Yes
 Pilgrimage to Makkah (the Kaaba) is one of the five pillars of Islam,hajj,Yes,Correct,Yes
"Hajj is a pilgrimage to Mecca, Saudi Arabia",hajj,Yes,Correct,Yes
 It is one of the five pillars of Islam and every able Muslim must perform it at least once in their lives,hajj,Yes,Correct,Yes
 The Hajj is also considered one of the largest annual gatherings on Earth and takes place every year during the last month of the Islamic calendar,hajj,Yes,Correct,Yes
" Pilgrims travel to Mecca by foot, camel, or bus",hajj,Yes,Wrong,Yes
The Kaaba is a building located in Mecca that Muslims face when performing Hajj,hajj,Yes,Correct,Yes
" The Kaaba was built by Prophet Abraham (AS) 1,200 years ago, who had it built as an idol that was later replaced with an actual stone structure by his son Prophet Ishmael (AS)",hajj,Yes,Wrong,Yes
" The Hajj is the fifth pillar of Islam, and a pilgrimage to Mecca",hajj,Yes,Correct,Yes
 Muslims are required to make a pilgrimage at least once in their lifetime if they are physically and financially able to do so,hajj,Yes,Correct,Yes
" The Hajj is considered one of the five pillars of Islam and is expected to be performed at least once in a lifetime by all able-bodied Muslims who have reached the age of puberty, and have no physical or mental disabilities that would prevent them from performing it",hajj,Yes,Correct,Yes
 Hajj is a pilgrimage that Muslims make towards the Kaaba in Makkah,hajj,Yes,Correct,Yes
 The pilgrimage is considered one of the five pillars of Islam and every able-bodied Muslim who can afford to must make the trip once in their lifetime if they wish to be considered a true Muslim,hajj,Yes,Correct,Yes
" Pilgrimage is a journey undertaken by Muslims to the city of Mecca, Saudi Arabia for the annual Hajj",hajj,Yes,Correct,Yes
 The pilgrimage is one of the five pillars of Islam and every able-bodied Muslim who can afford it must make the journey at least once in their lifetime,hajj,Yes,Correct,Yes
"Hajj is a pilgrimage to the Kaaba in Mecca, Saudi Arabia",hajj,Yes,Correct,Yes
" It is one of the five pillars of Islam, along with Shahadah (creed), Salat (prayer), Sawm (fasting), and Zakat (charity)",hajj,Yes,Correct,Yes
" Hajj is the practice of making a pilgrimage to Makkah, Saudi Arabia",hajj,Yes,Correct,Yes
" It is one of the largest annual Islamic celebrations, taking place during the last 10 days of Dhu al-Hijjah (the 12th month of the Islamic calendar)",hajj,Yes,Correct,Yes
 Hajj is one of five pillars of Islam and involves several rituals that are meant to purify a person?s mind and soul,hajj,Yes,Correct,Yes
" The pilgrimage rituals are performed in Makkah, which is also known as ?the Sacred House? or ?the House of Allah?",hajj,Yes,Correct,Yes
"The Hajj is performed by Muslims who can afford it, though those who cannot afford it can still do it if they are willing to sacrifice something important like their wealth or property or if they have children who will be able to perform the hajj without any problem",hajj,Yes,Wrong,Yes
" Hajj is a journey to Mecca, Saudi Arabia, where Muslims make the annual pilgrimage to perform the Hajj (pilgrimage)",hajj,Yes,Correct,Yes
 It is one of the five pillars of Islam and is considered to be one of the largest and most important religious observances for Muslims,hajj,Yes,Correct,Yes
 The Hajj takes place in the 12th month of the Islamic calendar: Dhu al-Hijjah,hajj,Yes,Correct,Yes
"The Hajj is a requirement for all able-bodied adult males who are financially capable, physically healthy, and mentally competent enough to undertake such a long journey",hajj,Yes,Correct,Yes
" It involves numerous rituals, both spiritual and physical",hajj,Yes,Correct,Yes
 Hajj is one of the five pillars of Islam,hajj,Yes,Correct,Yes
" It involves a journey to Mecca, Saudi Arabia, for those who can afford it and have the resources to make it happen",hajj,Yes,Correct,Yes
" The pilgrimage takes place over either seven or nine days, depending on whether you're traveling with an Umrah (lesser pilgrimage) or Sa'i (greater)",hajj,No,Correct,Yes
"It's considered one of the five pillars of Islam because it was instituted by Muhammad himself, although he didn't officially call it hajj until later in his career",hajj,Yes,Wrong,Yes
 The ritual itself is designed to focus people on their faith and give them some perspective on how they should live their lives?it's meant to be an intense spiritual experience that helps bring people closer together in community,hajj,Yes,Correct,Yes
 Hajj is the third pillar of Islam,hajj,Yes,Wrong,Yes
" Muslims are required to perform Hajj at least once in their lifetime, and all able-bodied males are required to make the pilgrimage at least once, though it may be done more than once",hajj,Yes,Correct,Yes
The Hajj is a journey that takes place during the 12th month of the Islamic calendar,hajj,Yes,Correct,Yes
" It commemorates Abraham's willingness to sacrifice his son Ishmael, who was supposed to inherit the earth, and his willingness to submit himself to God's will without question",hajj,Yes,Correct,Yes
"The Ka'bah (Arabic for cube) is located in Mecca, Saudi Arabia",hajj,No,Correct,Yes
 It is considered one of the most sacred buildings in Islam because it houses what is believed to be the place where Abraham stood when he saw God for the first time,hajj,No,Wrong,Yes
" The Hajj is an annual pilgrimage to Mecca, Saudi Arabia",hajj,Yes,Correct,Yes
" Pilgrims arrive in Mecca on the 12th day of the 12th month of the Islamic calendar, which occurs at least once a year on a fixed date in September or October",hajj,Yes,Wrong,Yes
" The pilgrim circumambulates Mount Arafat seven times, stands at the Black Stone three times, performs a ritual sacrifice of the sacrificial animal but not its meat, and then takes part in special prayers at the Kaaba",hajj,Yes,Wrong,Yes
" After completing these rites, pilgrims return to their home countries",hajj,Yes,Correct,Yes
The Hajj is considered obligatory for all able Muslims who can afford it (based on their financial situation) and have been financially and medically prepared for it,hajj,Yes,Correct,Yes
It is one of the five pillars of Islam and must be performed at least once in someone's lifetime if they are physically and financially able to do so,hajj,Yes,Correct,Yes
 It consists of five rituals: standing at Mount Arafat seven times; running between two stone pillars; slaughtering an animal; stoning Satan seven times; praying toward Jerusalem during,hajj,Yes,Correct,Yes
"Hajj is the fifth pillar of Islam, and it is a pilgrimage to Makkah that all Muslims are required to make at least once in their lifetime if they can afford it, or every year if they can't",hajj,Yes,Wrong,Yes
" Pilgrims leave their homes and head to Makkah, a city in Saudi Arabia",hajj,Yes,Correct,Yes
The Hajj takes place over the course of one to two weeks,hajj,Yes,Wrong,Yes
" During this time, pilgrims attend prayers at the Kabah, perform other rituals like circling the Ka'bah seven times, and visit family gravesites",hajj,Yes,Correct,Yes
 The Hajj ends with a feast for all attendees,hajj,Yes,Wrong,Yes
" Hajj is a pilgrimage to Makkah, the holiest city in Islam",hajj,Yes,Correct,Yes
 It is the fifth pillar of Islam and is required at least once in a lifetime by Muslims who are able to do so,hajj,Yes,Correct,Yes
"The pilgrims leave their homes for up to four months, with some staying for as long as two weeks",hajj,Yes,Wrong,Yes
 The Hajj takes place during the last 10 days of Dhu al-Hijjah (the 12th month of the Muslim calendar),hajj,Yes,Correct,Yes
" In addition to performing prayer at Makkah's Kaaba shrine, pilgrims also perform ritual walks around the Kaaba and from one side of it to another seven times",hajj,Yes,Correct,Yes
 Hajj is a pilgrimage to Makkah,hajj,Yes,Correct,Yes
" It is the fifth pillar of Islam and takes place during the Islamic month of Dhu'l-Hijjah, which usually falls in August or September",hajj,Yes,Wrong,Yes
 Hajj is an obligation for all able Muslims who are financially and physically able to do so,hajj,Yes,Correct,Yes
"The Hajj lasts for four days, during which pilgrims make a symbolic journey to Mecca, perform certain prayers, and give offerings at the Kaaba, which is located in the center of the Great Mosque in Mecca",hajj,Yes,Correct,Yes
"The hajj is a pilgrimage to the holy city of Mecca, Saudi Arabia",hajj,Yes,Correct,Yes
 It is one of the five pillars of Islam and is considered the most important religious duty for Muslims,hajj,Yes,Correct,Yes
" The Hajj takes place every year during the 12th month of the Islamic calendar and involves five rituals: circumambulation around the Kaaba, stoning of the pillars erected at Mina, sacrifice on Mount Arafat, sacrificial animal slaughter at Muzdalifah and praying on Mount Safa and Mount Marwah",hajj,Yes,Correct,Yes
A pilgrimage is a journey made by people to places associated with sacred significance or spiritual power,hajj,Yes,Correct,Yes
" The term can refer to any long journey undertaken for religious reasons or as a portion of an overall journey, but it is most often used to describe journeys undertaken from a base camp to shrines associated with important figures in history or religion",hajj,Yes,Wrong,Yes
" In some traditions such as Hinduism and Buddhism, pilgrimages are also made for other purposes such as seeking medical cures or personal development",hajj,No,Wrong,Yes
The Hajj is a pilgrimage that Muslims must make once in their lifetimes,hajj,Yes,Correct,Yes
" It is a journey to Mecca, Saudi Arabia, which is considered to be the holiest city in all of Islam",hajj,Yes,Correct,Yes
"The Hajj takes place every year during the Islamic month of Dhu al-Hijjah (the last month of the Islamic calendar), which falls between August 21st and September 21st",hajj,Yes,Wrong,Yes
" The Hajj is one of the five pillars of Islam, and it is necessary for all Muslims who can afford it to make the trip",hajj,Yes,Correct,Yes
"During this journey, pilgrims circle seven times around the Kaaba, or cube-shaped structure at the center of Makkah's Grand Mosque",hajj,Yes,Correct,Yes
" They also visit other significant sites along their way, including Mount Arafat and Muzdalifah on their final day before returning home",hajj,Yes,Correct,Yes
" Hajj is a pilgrimage to the House of God, known as Makkah, in Saudi Arabia",hajj,Yes,Correct,Yes
" It is one of the Five Pillars of Islam, and every able-bodied Muslim who can afford it must perform it at least once in their lifetime",hajj,Yes,Correct,Yes
"For many Muslims, Hajj takes place during the month of Dhu al-Hijjah, when pilgrims journey from all over the world to visit Mecca",hajj,Yes,Correct,Yes
"Offering prayers at the Kaaba, which is located in Makkah's Masjid al-Haram",hajj,Yes,Correct,Yes
Standing at Mount Arafat for 3 days and 3 nights in order to commemorate Abraham's willingness to sacrifice his son Ismael (Ishmael) on God's command,hajj,Yes,Correct,Yes
"The rituals of Hajj include: 1. Offering prayers at the Kaaba, which is located in Makkah's Masjid al-Haram2. Standing at Mount Arafat for 3 days and 3 nights in order to ommemorate Abraham's willingness to sacrifice his son Ismael (Ishmael) on God's command3. Visiting the ZamZam Well and drinking water out of it seven times in order to Symbolically cleanse yourself before entering Makkah's Sacred Mosque (the Ka’bah)",hajj,Yes,Wrong,Yes
  Hajj is a pilgrimage that Muslims are required to perform at least once in their lifetime,hajj,Yes,Correct,Yes
" The Hajj takes place annually, during the last ten days of Dhu al-Hijjah, and commemorates the time when Prophet Abraham (peace be upon him) performed a pilgrimage to Mount Arafat",hajj,Yes,Wrong,Yes
"The Hajj takes place at two different locations: Mecca and Medina, which are both in Saudi Arabia",hajj,Yes,Wrong,Yes
 Pilgrims from around the world travel to these sites to perform Hajj ceremonies and pray towards Mecca,hajj,Yes,Correct,Yes
The Hajj is considered an important religious duty for all Muslims who can afford it,hajj,Yes,Correct,Yes
" For those who cannot afford it, they can still perform Hajj by performing their prayers and fasting before or after their journey",hajj,Yes,Wrong,Yes
"Hajj is a type of pilgrimage that Muslims make to Mecca, Saudi Arabia",hajj,Yes,Correct,Yes
 It is one of the Five Pillars of Islam,hajj,Yes,Correct,Yes
The pilgrims perform rituals that symbolize the journey from Earth to Heaven,hajj,Yes,Wrong,Yes
"These rituals include:-Standing at Arafat for four days and three nights-Circumambulating the Ka'aba (the black stone) seven times-Offering prayers in Mina and Muzdalifah-Praying at 'Arafat, which is located 25 miles from Mecca-Making the tawaf around Mount Safa and Mount Marwah",hajj,Yes,Wrong,Yes
" Hajj is a pilgrimage to Mecca, Saudi Arabia",hajj,Yes,Correct,Yes
 The Hajj pilgrimage is one of the five pillars of Islam and takes place every year during the last month of the Islamic calendar?Hajj 1428 (corresponding to August 22-26),hajj,Yes,Correct,Yes
 The Hajj is the third pillar of Islam after profession of faith (Shahadah) and Salat,hajj,Yes,Correct,Yes
" Hajj is the pilgrimage to Makkah, Saudi Arabia",hajj,Yes,Correct,Yes
 It is one of the five pillars of Islam and is required for all able-bodied Muslims at least once in their lifetime,hajj,Yes,Correct,Yes
" In addition to its religious significance, it is an important part of the pilgrimage circuit, which can take place in any year between March 21 and October 23",hajj,Yes,Wrong,Yes
Hajj is a multi-stage journey that requires pilgrims to cover between 15 and 20 kilometers on foot at most,hajj,Yes,Wrong,Yes
" The three main stations are Muzdalifah (the place where Abraham prepared to sacrifice his son Ishmael), Arafat (the place where Abraham prayed), and Mina (the place where Abraham was tested)",hajj,Yes,Wrong,Yes
" The Hajj ends with a ritual washing of hands or face in Zamzam well near Mina, followed by prayer at the Grand Mosque in Mecca",hajj,Yes,Wrong,Yes
" Hajj is the fifth pillar of Islam, and is a journey that every Muslim must make at least once in their lifetime",hajj,Yes,Correct,Yes
" It's a pilgrimage to Mecca, where pilgrims spend days fasting, praying, and performing purification rituals associated with the five pillars of Islam",hajj,Yes,Wrong,Yes
The Hajj takes place during the last month of the Islamic calendar year (Dhu al-Hijjah),hajj,Yes,Correct,Yes
" A pilgrim must be clean, have no physical or mental illness, be able to perform the necessary rituals without injury or disease, and have enough money to pay for his or her travel expenses",hajj,Yes,Correct,Yes
"When you go on Hajj, you will be given an official guide who will accompany you throughout your stay",hajj,Yes,Correct,Yes
 The guide will know where to stay and how to conduct your stay in Mecca so that it meets all legal requirements for Muslims who go there for pilgrimage every year at certain times during Ramadan when they enter into Ihram clothes (a special clothing which is used during Hajj),hajj,Yes,Correct,Yes
"  Hajj is a pilgrimage to Mecca, the holiest city in Islam",hajj,Yes,Correct,Yes
" It is a journey that every Muslim must make at least once in their lifetime, if not multiple times",hajj,Yes,Correct,Yes
"The Hajj is composed of four simple rituals:,1. Standing at Arafat,2. Circumambulating the Ka'bah,3. Saying prayers at Mina,4. Hajj rituals are performed between the 8th and 2th day of Dhu al-Hijjah; however, many Muslims wait until after the fasting month of Ramadan to perform Hajj because it is considered more spiritually significant",hajj,Yes,Wrong,Yes
Zakat is the obligation that Muslims must pay on certain types of wealth at specified times,zakat,Yes,Wrong,Yes
"Sadaqah is an act of charity that can be done by wealthy Muslims, either for themselves or for others",zakat,Yes,Correct,Yes
"Almsgiving is a charity given to those who are poor, blind, or otherwise in need of assistance",zakat,Yes,Correct,Yes
 Zakat is a mandatory Islamic practice that requires Muslims to give 2.5 percent of their wealth to the poor and needy,zakat,Yes,Correct,Yes
"It is often confused with sadaqah, which is a voluntary act of charity",zakat,Yes,Correct,Yes
"Sadaqah can be given to anyone, but only those who are in need can receive zakat",zakat,Yes,Correct,Yes
" Zakat is a religious requirement for Muslims, who are required to give 2.5% of their annual income to the poor and needy",zakat,Yes,Correct,Yes
 Zakat is one of the five pillars of Islam,zakat,Yes,Correct,Yes
" It is a Muslim religious obligation to give alms to the poor and needy, and it is an act of worship",zakat,Yes,Correct,Yes
"The Islamic calendar is lunar, so Zakat is given on the 10th month after the Hijra (the migration from Mecca to Medina)",zakat,Yes,Wrong,Yes
" However, this year Zakat will be given on October 15th",zakat,Yes,Wrong,Yes
 Zakat is the Arabic word for purification It is a religious obligation of Muslims to give 2.5% of their wealth or income to the poor every year on Eid al-Fitr and Eid al-Adha,zakat,Yes,Wrong,Yes
Sadaqah is a donation that is given in addition to zakat,zakat,Yes,Correct,Yes
"Alms giving has been practiced for centuries, but it has become more popular since the turn of this century",zakat,Yes,Wrong,Yes
Zakat is the Islamic concept of charitable giving,zakat,Yes,Correct,Yes
" It is a mandatory, fixed percentage of an individual's wealth that must be given to the poor",zakat,Yes,Correct,Yes
" The Quran describes zakat as the prescribed alms (2:260), and it is obligatory for Muslims to pay the zakat on their wealth",zakat,Yes,Correct,Yes
 Zakat is a religious requirement that Muslims must pay annually,zakat,Yes,Correct,Yes
 The amount depends on one's wealth and income,zakat,Yes,Correct,Yes
" The purpose of zakat is to help the poor and needy in society, especially those who are not able to earn a living",zakat,Yes,Correct,Yes
" It can also be used as an investment for those who wish to save, pay off debts or even buy property",zakat,Yes,Correct,Yes
" Zakat, or almsgiving, is one of the Five Pillars of Islam",zakat,Yes,Correct,Yes
 It is an obligation on Muslims to give 2.5% of their wealth to those in need,zakat,Yes,Correct,Yes
" In addition to this, it is also a requirement to give charity once a year as well",zakat,Yes,Wrong,Yes
The Prophet Muhammad (peace be upon him) said: Whosoever comes to you with a good deed will have ten times more reward than it,zakat,Yes,Correct,Yes
Zakat is a religious tax on Muslims who own and/or operate businesses,zakat,Yes,Wrong,Yes
 The word zakat comes from the Arabic word for purification It is given in addition to one's regular alms giving in order to help the poor and needy,zakat,Yes,Correct,Yes
"The Islamic religious text, the Quran, says that all rich people must give 2.5% of their wealth away to the poor every year",zakat,Yes,Correct,Yes
 A person who owns more than 2.5% of his or her wealth must also give 2.5% away each year,zakat,Yes,Wrong,Yes
"If a person has less than 2.5% of his or her wealth, he or she can give away any amount he or she chooses",zakat,Yes,Wrong,Yes
 Zakat is an annual charity given by Muslims to the poor and needy,zakat,Yes,Correct,Yes
" It is a fixed amount of money or goods, which must be spent for the benefit of the needy",zakat,Yes,Correct,Yes
Sadaqah is a fixed amount of money that must be given as charity,zakat,Yes,Correct,Yes
 Zakat is one of the five pillars of Islam,zakat,Yes,Correct,Yes
 It is an obligatory duty for every Muslim who can afford it to pay a portion of their wealth to assist the poor and needy around them,zakat,Yes,Correct,Yes
Sadaqah is also an obligatory duty for Muslims,zakat,Yes,Wrong,Yes
"Sadaqah refers to donations made by wealthy people in order to support community projects, such as mosques and schools",zakat,Yes,Correct,Yes
 Zakat is a religious obligation that obligates Muslims to donate some part of their wealth to the poor,zakat,Yes,Correct,Yes
" The exact amount depends on the wealth and needs of each individual, but most Muslims pay around 2.5% of their assets annually",zakat,Yes,Correct,Yes
Zakat is a religious obligation that is performed by Muslims at the end of each year,zakat,Yes,Wrong,Yes
" It is a mandatory charitable act, and its aim is to help the poor and needy",zakat,Yes,Correct,Yes
"Zakat is given in addition to other forms of charity, such as sadaqah (charity) and alms-giving",zakat,Yes,Correct,Yes
" The amount of zakat depends on the wealth of the individual, but it should not be less than 2.5% of one's total assets",zakat,Yes,Correct,Yes
The recipients of zakat include:-Boys and girls who have reached puberty;-Women who are pregnant or nursing;-People who are elderly or disabled (including children); and-People who have died while they were under the age of 60 years old,zakat,Yes,Wrong,Yes
 Zakat is a form of Islamic charity that requires the giver to pay an obligatory alms tax on their income,zakat,Yes,Correct,Yes
" The word zakat comes from the Arabic verb sadaq, meaning to give The word can be translated as sharing, giving back, or bringing together",zakat,Yes,Wrong,Yes
Zakat is one of the five pillars of Islam,zakat,Yes,Correct,Yes
 It is required by God as a means of purifying one's wealth before it goes to waste and helps others who are in need,zakat,Yes,Wrong,Yes
 Zakat (charity) is a financial obligation that Muslims are required to pay annually,zakat,Yes,Correct,Yes
 Zakat is a religious tax paid by Muslims,zakat,Yes,Correct,Yes
" It's considered one of the five pillars of Islam, as well as a pillar of the Islamic economic system",zakat,Yes,Correct,Yes
The purpose of Zakat is to provide for the poor and needy,zakat,Yes,Correct,Yes
 The Qur'an says that God provides for [them] out of His bounty (Qur'an 39:11),zakat,Yes,Correct,Yes
" Zakat can be paid in cash or other kind (eg, food)",zakat,Yes,Correct,Yes
 Zakat is a religious tax that must be paid by Muslims,zakat,Yes,Correct,Yes
 It is one of the five pillars of Islam,zakat,Yes,Correct,Yes
 Zakat has to do with both charity and alms giving,zakat,Yes,Wrong,Yes
"The word zakat comes from the Arabic root zaka, which means to purify In Arabic, it's used to describe things that have been cleansed or purified through prayer or incantation",zakat,Yes,Correct,Yes
 Zakat means that something has been purified by Allah; it's an act of worshipful piety,zakat,Yes,Correct,Yes
"Zakat is given to poor people, as well as to relatives and friends who need help financially",zakat,Yes,Correct,Yes
"The amount of zakat varies from country to country; in Saudi Arabia, for example, it is set at 2.5% of gross income from business activities (after expenses), while in Iran it's 2% on assets held at least one year before giving (but not more than 10 years)",zakat,Yes,Wrong,Yes
Namaz is the most important form of prayer in Islam,namaz,Yes,Correct,Yes
" It is a ritual that Muslims perform five times a day, and it is considered to be one of the requirements of Islam",namaz,Yes,Correct,Yes
Salah is the second-most important form of prayer in Islam,namaz,Yes,Wrong,Yes
" Salah is performed by both men and women, at least five times each day",namaz,Yes,Correct,Yes
" It consists of a series of movements and postures that are performed in front of an Islamic shrine, such as Mecca or Medina",namaz,Yes,Wrong,Yes
Saalat is the third-most important form of prayer in Islam,namaz,Yes,Wrong,Yes
" Saalat, also known as sunnah, includes a variety of other activities, including reading from the Qur'an and listening to sermons from imams (religious leaders), among other things",namaz,Yes,Wrong,Yes
Daily prayer includes all three forms and should be performed at least five times each day without fail,namaz,Yes,Correct,Yes
"Praying five times a day, or namaz, is an Islamic requirement",namaz,Yes,Correct,Yes
"Azan, the call to prayer, is recited twice daily and has special significance in Islam",namaz,Yes,Wrong,Yes
Salah (prayer) consists of two rakat: one standing and one prostrating,namaz,Yes,Wrong,Yes
"Saalat (fasting) is observed during daylight hours, and wuzu (wiping) is performed after defecation",namaz,Yes,Wrong,Yes
 The Muslim community is one of the most diverse and important communities in the United States,namaz,Yes,Correct,No
 Muslims make up over 1% of the population and are estimated to convert to Islam at a rate of 0.2% per year,namaz,Yes,Correct,No
" It is estimated that there are over 3 million Muslims in the United States, with an additional 2 million in Canada and 6 million worldwide",namaz,Yes,Correct,No
"Muslims pray five times per day: Fajr (before dawn), Dhuhr (afternoon), Asr (afternoon), Maghrib (sunset), and Isha (night)",namaz,Yes,Correct,Yes
" Fajr is the first prayer of the day, followed by two additional prayers at sunset and nightfall",namaz,Yes,Wrong,Yes
" These prayers are called Salah or Sujood, which means prostration",namaz,Yes,Wrong,Yes
 The shahada is recited during each prayer as well as after each prayer,namaz,Yes,Wrong,Yes
" After each salah, there is a pause for wuzu or washing hands before starting another salah",namaz,Yes,Wrong,Yes
 Namaz is the daily prayer that Muslims are required to perform five times each day,namaz,Yes,Correct,Yes
" The Namaz consists of standing, bowing (for approximately 3 seconds), prostrating (for approximately 4 seconds), sitting (for approximately 3 seconds), and reciting a passage from the Qur'an",namaz,Yes,Wrong,Yes
"Salah is the Islamic prayer, which is performed at a specific time of day",namaz,Yes,Correct,Yes
 It consists of kneeling on the floor with one's hands placed on one's knees and repeating verses from the Qur'an,namaz,Yes,Wrong,Yes
 Namaz is the Muslim prayer,namaz,Yes,Correct,Yes
 The word namaz means remembrance or memory,namaz,Yes,Wrong,Yes
" Salah is the name of a specific type of prayer, performed five times daily",namaz,Yes,Wrong,Yes
 Saalat is another name for salah,namaz,Yes,Correct,Yes
 Daily prayers are also called saah(s),namaz,Yes,Wrong,Yes
" During these prayers, Muslims often recite a verse from the Qur'an, as well as short phrases called tasbihs",namaz,Yes,Correct,Yes
 Wuzu is a ritual washing before praying,namaz,Yes,Correct,Yes
 It can be done with water or with hands and feet,namaz,Yes,Wrong,Yes
 Azan is the call to prayer that Muslims hear in their homes and mosques every morning at sunrise and sunset (at least once per day),namaz,Yes,Wrong,Yes
 Namaaz is the Arabic word for prayer,namaz,Yes,Correct,Yes
"It can be performed any time of day, but the best times are early in the morning, before sunrise; during the afternoon in the shade; and at nightfall",namaz,Yes,Wrong,Yes
"It can be performed any time of day, but the best times are early in the morning, before sunrise; during the afternoon in the shade; and at nightfall",namaz,Yes,Wrong,Yes
Salah is a type of Islamic prayer,namaz,Yes,Correct,Yes
"It involves standing with your arms raised over your head, bowing down to touch your toes three times and then raising them again to begin a new cycle of bowing and standing",namaz,Yes,Wrong,Yes
Saalat is also considered part of daily prayer,namaz,Yes,Wrong,Yes
It means 'remembrance',namaz,Yes,Correct,Yes
This can be done both by reciting verses from the Qur'an or by simply praying silently while thinking about those verses,namaz,Yes,Wrong,Yes
"Daily prayers include namaz (prayer), wuzu (washing hands), saalat (remembrance), qunut (bowing) and azan (adhan)",namaz,Yes,Wrong,Yes
"Namaz, or daily prayer, is one of the pillars of Islam",namaz,Yes,Correct,Yes
It's a time to reflect on your faith and ask for forgiveness,namaz,Yes,Correct,Yes
"Salah, or ritual prayer, is a pillar of Islam",namaz,Yes,Correct,Yes
